query_num	target_num	ratio
81	201	0.8643122676579925
81	214	0.8977695167286245
81	241	0.8940520446096655
81	257	0.8884758364312267
81	274	0.8866171003717472
81	322	0.8605947955390335
81	451	0.8029739776951673
81	542	0.8661710037174721
82	132	0.912962962962963
82	136	0.9092592592592592
82	137	0.812962962962963
82	138	0.8555555555555555
82	150	0.7925925925925926
82	187	0.7537037037037037
82	491	0.837037037037037
82	513	0.8611111111111112
82	637	0.7907407407407407
82	889	0.8055555555555556
83	109	0.8057040998217468
83	118	0.8431372549019608
83	161	0.8146167557932263
83	518	0.7807486631016043
84	19	0.9795539033457249
84	20	0.9888475836431226
84	88	0.9702602230483272
84	802	0.7639405204460966
86	171	0.8027079303675049
86	225	0.9439071566731141
86	288	0.7640232108317214
86	303	0.769825918762089
87	362	0.7541899441340782
87	730	0.7616387337057728
88	19	0.9719101123595506
88	20	0.9719101123595506
88	84	0.9775280898876404
88	802	0.7808988764044944
90	290	0.9428007889546351
90	291	0.8619329388560157
90	323	0.9585798816568047
90	420	0.8777120315581854
90	455	0.8205128205128205
90	576	0.9388560157790927
90	630	0.9368836291913215
90	658	0.8816568047337278
90	681	0.8244575936883629
91	6	0.7692307692307693
91	76	0.7554240631163708
91	325	0.9368836291913215
91	387	0.9487179487179487
91	520	0.8579881656804734
91	560	0.9092702169625246
91	589	0.9132149901380671
91	660	0.9151873767258383
92	884	0.8630705394190872
92	899	0.8340248962655602
92	953	0.7904564315352697
92	966	0.8506224066390041
94	180	0.9384920634920635
94	222	0.9007936507936508
94	301	0.7817460317460317
94	539	0.8571428571428571
94	574	0.9126984126984127
94	585	0.878968253968254
95	114	0.952191235059761
95	131	0.8944223107569721
95	285	0.9023904382470119
95	300	0.8864541832669323
95	301	0.8306772908366534
95	359	0.8904382470119522
95	636	0.9621513944223108
95	686	0.9023904382470119
95	820	0.8247011952191236
96	123	0.992
96	146	0.938
96	232	0.958
96	252	0.94
96	263	0.91
96	332	0.948
96	441	0.938
96	620	0.928
96	672	0.86
96	704	0.938
99	159	0.8579654510556622
99	166	0.7543186180422264
99	198	0.9021113243761996
99	223	0.9481765834932822
99	271	0.8061420345489443
99	360	0.9193857965451055
99	380	0.8579654510556622
99	607	0.8867562380038387
99	740	0.8598848368522073
101	5	0.9393939393939394
101	31	0.9252525252525252
101	190	0.9252525252525252
101	245	0.9717171717171718
101	504	0.9232323232323232
101	519	0.9656565656565657
101	566	0.9535353535353536
101	983	0.793939393939394
102	107	0.8970873786407767
102	293	0.912621359223301
102	309	0.9281553398058252
102	365	0.8485436893203884
102	390	0.9184466019417475
102	409	0.9184466019417475
102	424	0.8854368932038835
102	567	0.8932038834951457
103	296	0.8832997987927566
103	349	0.8430583501006036
103	425	0.7947686116700201
103	426	0.8933601609657947
103	439	0.9154929577464789
103	522	0.89738430583501
103	712	0.778672032193159
103	738	0.9054325955734407
103	776	0.8209255533199196
104	219	0.8396793587174348
104	298	0.8016032064128257
104	394	0.8877755511022044
104	442	0.875751503006012
104	508	0.9458917835671342
104	524	0.9859719438877755
104	583	0.9198396793587175
104	602	0.9018036072144289
104	782	0.9238476953907816
104	892	0.8997995991983968
106	179	0.9899193548387096
106	221	0.9596774193548387
106	235	0.9798387096774194
106	270	0.8669354838709677
106	283	0.9455645161290323
106	338	0.7540322580645161
106	555	0.9798387096774194
106	866	0.8084677419354839
107	102	0.9098039215686274
107	293	0.9058823529411765
107	309	0.903921568627451
107	347	0.7745098039215687
107	364	0.7784313725490196
107	390	0.8627450980392157
107	409	0.8921568627450981
107	424	0.9274509803921569
107	533	0.7666666666666667
108	224	0.9938900203665988
108	272	0.8839103869653768
108	273	0.9857433808553971
108	741	0.9205702647657841
109	83	0.888235294117647
109	118	0.8725490196078431
109	161	0.903921568627451
109	518	0.8862745098039215
109	564	0.7862745098039216
109	578	0.8666666666666667
109	942	0.7980392156862746
110	363	0.9119373776908023
110	388	0.9178082191780822
111	266	0.9256360078277887
111	317	0.863013698630137
111	371	0.9334637964774951
111	372	0.8023483365949119
111	525	0.8669275929549902
111	526	0.913894324853229
111	554	0.8434442270058709
111	685	0.8493150684931506
111	739	0.87279843444227
112	124	0.9568627450980393
112	398	0.9196078431372549
112	509	0.9176470588235294
112	930	0.7901960784313725
112	940	0.792156862745098
112	979	0.7705882352941177
114	95	0.93359375
114	131	0.890625
114	238	0.796875
114	285	0.875
114	300	0.86328125
114	359	0.88671875
114	401	0.86328125
114	636	0.93359375
114	686	0.8984375
115	124	0.7892644135188867
115	233	0.8489065606361829
115	234	0.8588469184890656
115	374	0.8290258449304175
115	462	0.8031809145129225
116	313	0.8972332015810277
116	478	0.8517786561264822
116	521	0.857707509881423
116	736	0.8774703557312253
116	836	0.8102766798418972
116	998	0.7608695652173914
117	154	0.9565217391304348
117	182	0.9683794466403162
117	207	0.9604743083003953
117	353	0.932806324110672
117	370	0.9150197628458498
117	397	0.9090909090909091
117	413	0.8932806324110671
117	460	0.9288537549407114
117	726	0.8537549407114624
118	83	0.9386138613861386
118	109	0.8811881188118812
118	161	0.8910891089108911
118	518	0.7742574257425743
118	546	0.8198019801980198
118	640	0.7940594059405941
118	797	0.7584158415841584
119	190	0.7533206831119544
119	593	0.7722960151802657
120	74	0.9958419958419958
120	175	0.9355509355509356
120	280	0.9833679833679834
120	482	0.9002079002079002
120	603	0.9230769230769231
120	635	0.9459459459459459
120	646	0.9334719334719335
120	673	0.9584199584199584
120	903	0.83991683991684
121	122	0.798804780876494
121	194	0.7828685258964143
121	357	0.8306772908366534
121	376	0.8247011952191236
121	377	0.9262948207171314
121	416	0.950199203187251
121	625	0.8804780876494024
121	826	0.8864541832669323
122	67	0.8972332015810277
122	121	0.7984189723320159
122	156	0.9110671936758893
122	184	0.8893280632411067
122	194	0.9565217391304348
122	220	0.8478260869565217
122	357	0.9347826086956522
122	416	0.7766798418972332
123	96	0.9841269841269841
123	146	0.9146825396825397
123	232	0.9662698412698413
123	252	0.9265873015873016
123	263	0.9246031746031746
123	332	0.9325396825396826
123	441	0.9246031746031746
123	454	0.8591269841269841
123	620	0.9365079365079365
123	704	0.9464285714285714
124	112	0.9663366336633663
124	115	0.7841584158415842
124	234	0.9267326732673268
124	509	0.9326732673267327
124	930	0.8178217821782178
124	940	0.7603960396039604
124	979	0.7821782178217822
125	126	0.9662027833001988
125	148	0.952286282306163
125	157	0.8926441351888668
125	158	0.9642147117296223
125	165	0.974155069582505
125	178	0.9681908548707754
125	269	0.9363817097415507
125	270	0.8866799204771372
125	446	0.9642147117296223
125	464	0.9085487077534792
126	125	0.9622266401590457
126	158	0.9423459244532804
126	165	0.9761431411530815
126	178	0.94831013916501
126	221	0.8667992047713717
126	269	0.9542743538767395
126	270	0.904572564612326
126	283	0.8846918489065606
126	446	0.8886679920477137
126	464	0.9165009940357853
127	314	0.9464285714285714
127	392	0.9047619047619048
127	549	0.9246031746031746
127	550	0.8928571428571429
127	570	0.7579365079365079
127	644	0.9087301587301587
127	690	0.9027777777777778
127	763	0.8809523809523809
127	909	0.7956349206349206
128	321	0.8223140495867769
128	402	0.890495867768595
128	448	0.8760330578512396
128	449	0.9235537190082644
128	541	0.9400826446280992
128	557	0.8842975206611571
128	648	0.9648760330578512
128	687	0.9545454545454546
128	831	0.9152892561983471
128	852	0.9049586776859504
129	151	0.91
129	203	0.916
129	229	0.968
129	310	0.958
129	745	0.93
130	142	1
130	147	0.9461077844311377
130	164	0.9680638722554891
130	177	0.9580838323353293
130	209	0.9740518962075848
130	727	0.8223552894211577
130	989	0.7664670658682635
130	1013	0.7684630738522954
131	95	0.8944223107569721
131	114	0.9083665338645418
131	197	0.9282868525896414
131	238	0.9342629482071713
131	359	0.950199203187251
131	401	0.9282868525896414
131	636	0.8944223107569721
131	686	0.9123505976095617
132	82	0.99
132	136	0.98
132	137	0.874
132	138	0.862
132	187	0.83
132	491	0.902
132	513	0.944
132	637	0.87
132	705	0.812
132	889	0.886
133	39	0.986
133	41	0.948
133	242	0.988
133	305	0.936
133	382	0.928
133	498	0.952
133	517	0.894
133	742	0.828
133	748	0.948
134	43	0.8694779116465864
134	135	0.8132530120481928
134	143	0.8092369477911646
134	220	0.7811244979919679
134	268	0.891566265060241
134	573	0.8232931726907631
134	647	0.8975903614457831
134	657	0.7911646586345381
134	675	0.8775100401606426
134	697	0.8273092369477911
135	67	0.9377510040160643
135	134	0.7971887550200804
135	143	0.9939759036144579
135	156	0.927710843373494
135	184	0.9437751004016064
135	220	0.9718875502008032
135	268	0.8975903614457831
135	573	0.9497991967871486
136	82	0.9899799599198397
136	132	0.9839679358717435
136	137	0.8937875751503006
